Time (UTCG),x (km),y (km),z (km),vx (km/sec),vy (km/sec),vz (km/sec)
740.00,4893.251933,868.326042,4929.71555,-5.396081,0.916968,5.194652
750.00,4839.074671,877.422099,4981.313761,-5.452562,0.90685,5.137131
760.00,4784.336443,886.416709,5032.33447,-5.50841,0.896627,5.079015
770.00,4729.043595,895.308832,5082.771761,-5.563621,0.8863,5.02031
780.00,4673.202535,904.09744,5132.619788,-5.618186,0.875871,4.961024
790.00,4616.819738,912.781517,5181.87277,-5.6721,0.865341,4.901162
800.00,4559.90174,921.360057,5230.524999,-5.725357,0.854711,4.840732
810.00,4502.455138,929.832071,5278.570834,-5.777949,0.843981,4.77974
820.00,4444.486593,938.196578,5326.004704,-5.829872,0.833155,4.718195
830.00,4386.002824,946.45261,5372.821111,-5.88112,0.822232,4.656102
840.00,4327.01061,954.599215,5419.014626,-5.931685,0.811213,4.59347
850.00,4267.516791,962.635448,5464.579895,-5.981563,0.800102,4.530305
860.00,4207.528264,970.560383,5509.511635,-6.030747,0.788897,4.466615
870.00,4147.051981,978.373101,5553.804636,-6.079233,0.777601,4.402407
880.00,4086.094955,986.0727,5597.453764,-6.127013,0.766216,4.337689
890.00,4024.664252,993.65829,5640.453959,-6.174083,0.754742,4.272468
900.00,3962.766992,1001.128994,5682.800235,-6.220438,0.74318,4.206751
910.00,3900.410351,1008.483947,5724.487682,-6.266071,0.731533,4.140547
920.00,3837.601558,1015.722299,5765.511468,-6.310978,0.719801,4.073863
930.00,3774.347894,1022.843214,5805.866837,-6.355154,0.707986,4.006706
940.00,3710.656692,1029.845869,5845.54911,-6.398593,0.696089,3.939085
950.00,3646.535334,1036.729453,5884.553687,-6.44129,0.684111,3.871008
960.00,3581.991255,1043.49317,5922.876046,-6.48324,0.672055,3.802481
970.00,3517.031936,1050.136239,5960.511743,-6.524439,0.659921,3.733514
980.00,3451.664907,1056.657892,5997.456416,-6.564881,0.64771,3.664114
990.00,3385.897747,1063.057375,6033.705782,-6.604562,0.635424,3.594289
1000.00,3319.73808,1069.333947,6069.255638,-6.643478,0.623066,3.524047
1010.00,3253.193574,1075.486882,6104.101862,-6.681624,0.610635,3.453397
1020.00,3186.271944,1081.515471,6138.240415,-6.718995,0.598133,3.382346
1030.00,3118.980948,1087.419015,6171.667338,-6.755587,0.585562,3.310904
1040.00,3051.328386,1093.196832,6204.378758,-6.791396,0.572924,3.239077
1050.00,2983.322102,1098.848253,6236.37088,-6.826418,0.560219,3.166875
1060.00,2914.969978,1104.372626,6267.639997,-6.860648,0.54745,3.094306
1070.00,2846.279938,1109.769312,6298.182483,-6.894083,0.534617,3.021378
1080.00,2777.259946,1115.037687,6327.994797,-6.926719,0.521722,2.9481
1090.00,2707.918002,1120.177141,6357.073483,-6.958552,0.508767,2.87448
1100.00,2638.262144,1125.187081,6385.41517,-6.989578,0.495754,2.800526
1110.00,2568.300448,1130.066927,6413.016572,-7.019794,0.482683,2.726248
1120.00,2498.041024,1134.816115,6439.874489,-7.049196,0.469556,2.651654
1130.00,2427.492016,1139.434096,6465.985807,-7.077781,0.456375,2.576753
1140.00,2356.661603,1143.920335,6491.347499,-7.105546,0.443141,2.501553
1150.00,2285.557996,1148.274315,6515.956626,-7.132487,0.429856,2.426063
1160.00,2214.189437,1152.495532,6539.810333,-7.158601,0.416521,2.350291
1170.00,2142.5642,1156.583497,6562.905855,-7.183885,0.403138,2.274247
1180.00,2070.690588,1160.537738,6585.240515,-7.208336,0.389708,2.19794
1190.00,1998.576933,1164.357799,6606.811724,-7.231952,0.376234,2.121377
1200.00,1926.231594,1168.043236,6627.616981,-7.254729,0.362715,2.044569
1210.00,1853.662959,1171.593625,6647.653873,-7.276666,0.349155,1.967524
1220.00,1780.879439,1175.008554,6666.920078,-7.297758,0.335555,1.89025
1230.00,1707.889472,1178.287629,6685.413362,-7.318005,0.321916,1.812758
1240.00,1634.701519,1181.430471,6703.131581,-7.337404,0.308239,1.735055
1250.00,1561.324065,1184.436715,6720.072681,-7.355952,0.294527,1.657151
1260.00,1487.765615,1187.306016,6736.234697,-7.373647,0.280781,1.579055
1270.00,1414.034698,1190.03804,6751.615757,-7.390487,0.267002,1.500776
1280.00,1340.139859,1192.632473,6766.214078,-7.406471,0.253193,1.422323
1290.00,1266.089666,1195.089013,6780.027965,-7.421596,0.239354,1.343705
1300.00,1191.892703,1197.407377,6793.055819,-7.435861,0.225487,1.264931
1310.00,1117.55757,1199.587298,6805.296128,-7.449263,0.211595,1.186011
1320.00,1043.092886,1201.628522,6816.747474,-7.461803,0.197678,1.106953
1330.00,968.507282,1203.530814,6827.408529,-7.473477,0.183738,1.027767
1340.00,893.809404,1205.293954,6837.278057,-7.484285,0.169777,0.948461
1350.00,819.007912,1206.917738,6846.354914,-7.494225,0.155796,0.869046
1360.00,744.111478,1208.401979,6854.638048,-7.503296,0.141797,0.78953
1370.00,669.128783,1209.746504,6862.126497,-7.511498,0.127782,0.709922
1380.00,594.06852,1210.951158,6868.819395,-7.518829,0.113752,0.630232
1390.00,518.93939,1212.015803,6874.715965,-7.525288,0.099709,0.550469
1400.00,443.750103,1212.940314,6879.815524,-7.530875,0.085655,0.470642
1410.00,368.509374,1213.724585,6884.11748,-7.535589,0.07159,0.390761
